Patient_ID,Modality_Category,File_Name,File_Path,File_Size_MB,Width,Height,Depth,Spacing_X,Spacing_Y,Spacing_Z,Voxel_Volume_mm3,Data_Type,Orientation,QForm_Code,SForm_Code,Affine_Matrix,Min_Intensity,Max_Intensity,Mean_Intensity,Median_Intensity,Std_Intensity,Variance,Dynamic_Range,Contrast,Entropy,Sharpness,Edge_Strength,Noise_Estimate,SNR,FG_BG_Ratio,FG_Voxel_Count,BG_Voxel_Count
SP15,STIR,S82041_SC_MobiView_eSTIR_TSE_20260306093302_505.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP15\S82041_SC_MobiView_eSTIR_TSE_20260306093302_505.nii.gz,3.171,432,819,15,0.865,0.865,4.398,3.294,int16,PSR,1,1,"[[-0.0, 0.03, 4.4, -43.94], [-0.87, -0.0, -0.02, 142.32], [0.0, 0.87, -0.13, -596.94], [0.0, 0.0, 0.0, 1.0]]",0.0,3501.81,592.48,292.4,451.4,203760.72,3501.81,0.7619,4.1531,0.004083,0.115587,0.0,59247680.6641,59247680.6641,5298645,8475
SP12,T2W,S82031_SC_MobiView_eT2W_TSE_20260305090906_305a.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP12\S82031_SC_MobiView_eT2W_TSE_20260305090906_305a.nii.gz,4.029,512,970,12,0.726,0.726,4.4,2.318,int16,PSR,1,1,"[[-0.0, 0.0, 4.4, -28.26], [-0.73, 0.0, -0.0, 147.59], [0.0, 0.73, -0.02, -617.49], [0.0, 0.0, 0.0, 1.0]]",0.0,3119.08,581.38,260.44,504.57,254590.83,3119.08,0.8679,4.3352,0.003655,0.103896,0.0,58137500.0,58137500.0,5951652,8028
SP17,T2W,S82170_eT2W_TSE_20260221100326_304.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_20260221100326_304.nii.gz,2.584,512,512,15,0.726,0.726,4.4,2.318,int16,PSR,1,1,"[[-0.0, 0.01, 4.4, -42.3], [-0.73, -0.0, -0.0, 136.91], [0.0, 0.73, -0.07, -568.61], [0.0, 0.0, 0.0, 1.0]]",0.0,4252.8,638.92,609.49,437.52,191426.02,4252.8,0.6848,6.4874,0.002288,0.116366,0.0,63892065.4297,63892065.4297,1885993,2046167
SP17,T1W_GADO,S82170_T1W_TSE_GADO_POST_20260221100326_901_i00021.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_T1W_TSE_GADO_POST_20260221100326_901_i00021.nii.gz,1.091,224,224,20,0.893,0.893,4.4,3.508,int16,LAS,1,1,"[[-0.89, -0.01, -0.06, 96.89], [-0.01, 0.89, -0.21, -127.32], [-0.01, 0.04, 4.39, -367.2], [0.0, 0.0, 0.0, 1.0]]",0.0,1883.37,355.0,318.42,288.84,83428.45,1883.37,0.8136,6.7997,0.006078,0.214167,0.0,35500015.2588,35500015.2588,998843,4677
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_802_i00008.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_802_i00008.nii.gz,0.24,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.01, -0.17, 85.04], [-0.0, 0.7, 0.81, -131.53], [-0.03, -0.13, 4.32, -465.9], [0.0, 0.0, 0.0, 1.0]]",0.0,2007.33,678.71,604.89,361.99,131038.6,2007.33,0.5333,7.2646,0.004965,0.254798,0.0,67871496.582,67871496.582,199830,874
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_802_i00012.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_802_i00012.nii.gz,0.241,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.17, 85.02], [0.0, 0.71, 0.24, -129.86], [-0.03, -0.04, 4.39, -443.89], [0.0, 0.0, 0.0, 1.0]]",0.0,2320.14,744.56,693.97,397.28,157830.22,2320.14,0.5336,7.1818,0.004139,0.214327,0.0,74455523.6816,74455523.6816,200096,608
SP17,T1W_GADO,S82170_T1W_TSE_GADO_PRE_20260221100326_701_i00001.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_T1W_TSE_GADO_PRE_20260221100326_701_i00001.nii.gz,0.983,224,224,20,0.893,0.893,4.4,3.508,int16,LAS,1,1,"[[-0.89, -0.01, -0.06, 96.03], [-0.01, 0.88, 0.66, -146.85], [-0.01, -0.13, 4.35, -443.2], [0.0, 0.0, 0.0, 1.0]]",0.0,4629.25,239.04,234.28,180.6,32617.03,4629.25,0.7555,4.8659,0.00368,0.120453,0.0,23903529.3579,23903529.3579,984097,19423
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_802_i00001.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_802_i00001.nii.gz,0.421,224,224,7,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.01, -0.17, 86.83], [-0.01, 0.65, 1.89, -136.0], [-0.03, -0.31, 3.97, -479.34], [0.0, 0.0, 0.0, 1.0]]",0.0,2183.41,648.53,573.82,368.52,135805.06,2183.41,0.5682,7.1918,0.00379,0.241481,0.0,64853094.4824,64853094.4824,349968,1264
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_802_i00020.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_802_i00020.nii.gz,0.178,224,224,3,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.17, 82.47], [0.01, 0.7, -0.72, -137.29], [-0.03, 0.12, 4.34, -393.01], [0.0, 0.0, 0.0, 1.0]]",0.0,2197.92,670.89,611.11,358.26,128352.83,2197.92,0.534,7.0689,0.003603,0.201955,0.0,67089086.9141,67089086.9141,149671,857
SP17,T1W_GADO,S82170_T1W_TSE_GADO_PRE_20260221100326_701_i00021.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_T1W_TSE_GADO_PRE_20260221100326_701_i00021.nii.gz,1.023,224,224,20,0.893,0.893,4.4,3.508,int16,LAS,1,1,"[[-0.89, -0.01, -0.06, 96.89], [-0.01, 0.89, -0.21, -127.32], [-0.01, 0.04, 4.39, -367.2], [0.0, 0.0, 0.0, 1.0]]",0.0,1654.11,286.26,279.45,189.24,35810.1,1654.11,0.6611,6.6233,0.007503,0.211597,0.0,28625823.9746,28625823.9746,998086,5434
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_802_i00016.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_802_i00016.nii.gz,0.24,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.17, 85.03], [0.01, 0.71, -0.34, -133.53], [-0.03, 0.06, 4.38, -422.08], [0.0, 0.0, 0.0, 1.0]]",0.0,2212.42,726.57,683.61,387.51,150160.91,2212.42,0.5333,7.2052,0.005328,0.212995,0.0,72656933.5938,72656933.5938,199550,1154
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_802_i00023.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_802_i00023.nii.gz,0.177,224,224,3,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.17, 82.44], [0.01, 0.71, -0.62, -140.73], [-0.03, 0.1, 4.35, -358.45], [0.0, 0.0, 0.0, 1.0]]",0.0,2378.14,622.14,569.68,340.3,115803.78,2378.14,0.547,6.826,0.003162,0.191582,0.0,62214160.1562,62214160.1562,149676,852
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_902_i00008.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_902_i00008.nii.gz,0.246,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.01, -0.17, 85.04], [-0.0, 0.7, 0.81, -131.53], [-0.03, -0.13, 4.32, -465.9], [0.0, 0.0, 0.0, 1.0]]",0.0,2105.04,651.28,559.68,367.06,134729.72,2105.04,0.5636,7.1848,0.005774,0.280529,0.0,65128118.8965,65128118.8965,199762,942
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_902_i00012.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_902_i00012.nii.gz,0.247,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.17, 85.02], [0.0, 0.71, 0.24, -129.86], [-0.03, -0.04, 4.39, -443.89], [0.0, 0.0, 0.0, 1.0]]",0.0,2324.27,718.79,657.71,399.84,159870.19,2324.27,0.5563,7.1605,0.005282,0.24499,0.0,71878894.043,71878894.043,200037,667
SP18,T1W,S82212_eT1W_TSE_CLEAR_20260225155723_902_i00016.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP18\S82212_eT1W_TSE_CLEAR_20260225155723_902_i00016.nii.gz,0.246,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.17, 85.03], [0.01, 0.71, -0.34, -133.53], [-0.03, 0.06, 4.38, -422.08], [0.0, 0.0, 0.0, 1.0]]",0.0,2436.56,689.27,629.19,387.77,150366.95,2436.56,0.5626,7.0557,0.006852,0.235314,0.0,68927062.9883,68927062.9883,199577,1127
